,session,emotion,img,aus
0,15696,neutral,./data/images/images/train/neutral/1000.jpg,"0,0"
1,15697,neutral,./data/images/images/train/neutral/10003.jpg,"0,0"
2,15698,neutral,./data/images/images/train/neutral/10014.jpg,"0,0"
3,15699,neutral,./data/images/images/train/neutral/10017.jpg,"0,0"
4,15700,neutral,./data/images/images/train/neutral/1002.jpg,"0,0"
5,15701,neutral,./data/images/images/train/neutral/10021.jpg,"0,0"
6,15702,neutral,./data/images/images/train/neutral/10024.jpg,"0,0"
7,15703,neutral,./data/images/images/train/neutral/10026.jpg,"0,0"
8,15704,neutral,./data/images/images/train/neutral/10027.jpg,"0,0"
9,15705,neutral,./data/images/images/train/neutral/10030.jpg,"0,0"
10,15706,neutral,./data/images/images/train/neutral/10036.jpg,"0,0"
11,15707,neutral,./data/images/images/train/neutral/10041.jpg,"0,0"
12,15708,neutral,./data/images/images/train/neutral/10045.jpg,"0,0"
13,15709,neutral,./data/images/images/train/neutral/10051.jpg,"0,0"
14,15710,neutral,./data/images/images/train/neutral/10054.jpg,"0,0"
15,15711,neutral,./data/images/images/train/neutral/10058.jpg,"0,0"
16,15712,neutral,./data/images/images/train/neutral/10062.jpg,"0,0"
17,15713,neutral,./data/images/images/train/neutral/10077.jpg,"0,0"
18,15714,neutral,./data/images/images/train/neutral/10084.jpg,"0,0"
19,15715,neutral,./data/images/images/train/neutral/10085.jpg,"0,0"
20,15716,neutral,./data/images/images/train/neutral/10091.jpg,"0,0"
21,15717,neutral,./data/images/images/train/neutral/10093.jpg,"0,0"
22,15718,neutral,./data/images/images/train/neutral/10101.jpg,"0,0"
23,15719,neutral,./data/images/images/train/neutral/10109.jpg,"0,0"
24,15720,neutral,./data/images/images/train/neutral/10110.jpg,"0,0"
25,15721,neutral,./data/images/images/train/neutral/10113.jpg,"0,0"
26,15722,neutral,./data/images/images/train/neutral/10119.jpg,"0,0"
27,15723,neutral,./data/images/images/train/neutral/10129.jpg,"0,0"
28,15724,neutral,./data/images/images/train/neutral/10130.jpg,"0,0"
29,15725,neutral,./data/images/images/train/neutral/10136.jpg,"0,0"
30,15726,neutral,./data/images/images/train/neutral/10143.jpg,"0,0"
31,15727,neutral,./data/images/images/train/neutral/10173.jpg,"0,0"
32,15728,neutral,./data/images/images/train/neutral/10174.jpg,"0,0"
33,15729,neutral,./data/images/images/train/neutral/10175.jpg,"0,0"
34,15730,neutral,./data/images/images/train/neutral/10177.jpg,"0,0"
35,15731,neutral,./data/images/images/train/neutral/10180.jpg,"0,0"
36,15732,neutral,./data/images/images/train/neutral/10190.jpg,"0,0"
37,15733,neutral,./data/images/images/train/neutral/10195.jpg,"0,0"
38,15734,neutral,./data/images/images/train/neutral/10197.jpg,"0,0"
39,15735,neutral,./data/images/images/train/neutral/102.jpg,"0,0"
40,15736,neutral,./data/images/images/train/neutral/10200.jpg,"0,0"
41,15737,neutral,./data/images/images/train/neutral/10204.jpg,"0,0"
42,15738,neutral,./data/images/images/train/neutral/10206.jpg,"0,0"
43,15739,neutral,./data/images/images/train/neutral/1021.jpg,"0,0"
44,15740,neutral,./data/images/images/train/neutral/10216.jpg,"0,0"
45,15741,neutral,./data/images/images/train/neutral/10217.jpg,"0,0"
46,15742,neutral,./data/images/images/train/neutral/10219.jpg,"0,0"
