session,emotion,img
0,angry,./data/images/images/train/angry/.ipynb_checkpoints
1,angry,./data/images/images/train/angry/0.jpg
2,angry,./data/images/images/train/angry/1.jpg
3,angry,./data/images/images/train/angry/10.jpg
4,angry,./data/images/images/train/angry/10002.jpg
5,angry,./data/images/images/train/angry/10016.jpg
6,angry,./data/images/images/train/angry/10037.jpg
7,angry,./data/images/images/train/angry/10038.jpg
8,angry,./data/images/images/train/angry/10057.jpg
9,angry,./data/images/images/train/angry/10063.jpg
10,angry,./data/images/images/train/angry/10069.jpg
11,angry,./data/images/images/train/angry/10100.jpg
12,angry,./data/images/images/train/angry/10105.jpg
13,angry,./data/images/images/train/angry/10115.jpg
14,angry,./data/images/images/train/angry/10122.jpg
15,angry,./data/images/images/train/angry/10142.jpg
16,angry,./data/images/images/train/angry/1015.jpg
17,angry,./data/images/images/train/angry/10154.jpg
18,angry,./data/images/images/train/angry/10155.jpg
19,angry,./data/images/images/train/angry/10158.jpg
20,angry,./data/images/images/train/angry/1016.jpg
21,angry,./data/images/images/train/angry/10167.jpg
22,angry,./data/images/images/train/angry/10178.jpg
23,angry,./data/images/images/train/angry/1018.jpg
24,angry,./data/images/images/train/angry/10181.jpg
25,angry,./data/images/images/train/angry/10192.jpg
26,angry,./data/images/images/train/angry/10196.jpg
27,angry,./data/images/images/train/angry/10202.jpg
28,angry,./data/images/images/train/angry/10207.jpg
29,angry,./data/images/images/train/angry/10214.jpg
30,angry,./data/images/images/train/angry/10223.jpg
31,angry,./data/images/images/train/angry/10226.jpg
32,angry,./data/images/images/train/angry/10240.jpg
33,angry,./data/images/images/train/angry/10242.jpg
34,angry,./data/images/images/train/angry/10250.jpg
35,angry,./data/images/images/train/angry/10251.jpg
36,angry,./data/images/images/train/angry/10253.jpg
37,angry,./data/images/images/train/angry/10265.jpg
38,angry,./data/images/images/train/angry/10287.jpg
39,angry,./data/images/images/train/angry/10302.jpg
40,angry,./data/images/images/train/angry/10310.jpg
41,angry,./data/images/images/train/angry/10325.jpg
42,angry,./data/images/images/train/angry/10348.jpg
43,angry,./data/images/images/train/angry/10359.jpg
44,angry,./data/images/images/train/angry/10363.jpg
45,angry,./data/images/images/train/angry/10364.jpg
46,angry,./data/images/images/train/angry/10373.jpg
47,angry,./data/images/images/train/angry/10377.jpg
48,angry,./data/images/images/train/angry/10378.jpg
49,angry,./data/images/images/train/angry/10385.jpg
50,angry,./data/images/images/train/angry/10388.jpg
51,angry,./data/images/images/train/angry/1039.jpg
52,angry,./data/images/images/train/angry/10394.jpg
53,angry,./data/images/images/train/angry/10397.jpg
54,angry,./data/images/images/train/angry/10401.jpg
55,angry,./data/images/images/train/angry/10420.jpg
56,angry,./data/images/images/train/angry/10429.jpg
57,angry,./data/images/images/train/angry/10430.jpg
58,angry,./data/images/images/train/angry/10431.jpg
59,angry,./data/images/images/train/angry/10439.jpg
60,angry,./data/images/images/train/angry/10440.jpg
61,angry,./data/images/images/train/angry/10441.jpg
62,angry,./data/images/images/train/angry/10462.jpg
63,angry,./data/images/images/train/angry/10472.jpg
64,angry,./data/images/images/train/angry/10475.jpg
65,angry,./data/images/images/train/angry/10490.jpg
66,angry,./data/images/images/train/angry/10497.jpg
67,angry,./data/images/images/train/angry/1051.jpg
68,angry,./data/images/images/train/angry/10510.jpg
69,angry,./data/images/images/train/angry/10511.jpg
70,angry,./data/images/images/train/angry/10541.jpg
71,angry,./data/images/images/train/angry/10544.jpg
72,angry,./data/images/images/train/angry/10548.jpg
73,angry,./data/images/images/train/angry/10563.jpg
74,angry,./data/images/images/train/angry/10573.jpg
75,angry,./data/images/images/train/angry/10592.jpg
76,angry,./data/images/images/train/angry/10595.jpg
77,angry,./data/images/images/train/angry/10603.jpg
78,angry,./data/images/images/train/angry/10604.jpg
79,angry,./data/images/images/train/angry/1061.jpg
80,angry,./data/images/images/train/angry/10616.jpg
81,angry,./data/images/images/train/angry/10619.jpg
82,angry,./data/images/images/train/angry/10623.jpg
83,angry,./data/images/images/train/angry/10626.jpg
84,angry,./data/images/images/train/angry/10651.jpg
85,angry,./data/images/images/train/angry/10656.jpg
86,angry,./data/images/images/train/angry/1066.jpg
87,angry,./data/images/images/train/angry/10661.jpg
88,angry,./data/images/images/train/angry/10666.jpg
89,angry,./data/images/images/train/angry/10682.jpg
90,angry,./data/images/images/train/angry/10692.jpg
91,angry,./data/images/images/train/angry/107.jpg
92,angry,./data/images/images/train/angry/10714.jpg
93,angry,./data/images/images/train/angry/10716.jpg
94,angry,./data/images/images/train/angry/10726.jpg
95,angry,./data/images/images/train/angry/10729.jpg
96,angry,./data/images/images/train/angry/10771.jpg
97,angry,./data/images/images/train/angry/10785.jpg
98,angry,./data/images/images/train/angry/10786.jpg
99,angry,./data/images/images/train/angry/10790.jpg
100,angry,./data/images/images/train/angry/10805.jpg
101,angry,./data/images/images/train/angry/10812.jpg
102,angry,./data/images/images/train/angry/10814.jpg
103,angry,./data/images/images/train/angry/10819.jpg
104,angry,./data/images/images/train/angry/10821.jpg
105,angry,./data/images/images/train/angry/10831.jpg
106,angry,./data/images/images/train/angry/10851.jpg
107,angry,./data/images/images/train/angry/10874.jpg
108,angry,./data/images/images/train/angry/10889.jpg
109,angry,./data/images/images/train/angry/10890.jpg
110,angry,./data/images/images/train/angry/10894.jpg
111,angry,./data/images/images/train/angry/1090.jpg
112,angry,./data/images/images/train/angry/10900.jpg
113,angry,./data/images/images/train/angry/10904.jpg
114,angry,./data/images/images/train/angry/10907.jpg
115,angry,./data/images/images/train/angry/10908.jpg
